29-10-2022 21:43:17.346 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
30-10-2022 11:06:07.980 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - Starting SiteSearchEngineApplication on dikdack_PC with PID 15584 (started by vadim in C:\Users\vadim\OneDrive\Рабочий стол\SiteSearchEngine)
30-10-2022 11:06:07.989 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - No active profile set, falling back to default profiles: default
30-10-2022 11:06:08.032 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
30-10-2022 11:06:08.033 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
30-10-2022 11:09:35.361 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - Starting SiteSearchEngineApplication on dikdack_PC with PID 9120 (started by vadim in C:\Users\vadim\OneDrive\Рабочий стол\SiteSearchEngine)
30-10-2022 11:09:35.371 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - No active profile set, falling back to default profiles: default
30-10-2022 11:09:35.409 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
30-10-2022 11:09:35.409 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
30-10-2022 11:15:28.145 [restartedMain] INFO  pet.skillbox.sitesearchengine.SiteSearchEngineApplication - Starting SiteSearchEngineApplication on dikdack_PC with PID 15004 (started by vadim in C:\Users\vadim\OneDrive\Рабочий стол\SiteSearchEngine)
